State,County,Population,MenPopulation,WomenPopulation,VotingAgeCitizen,Income,IncomePerCapita,PovertyRate,ChildPovertyRate,EmployedPopulation,UnemployedPopulation,EmploymentRate,UnemploymentRate
Illinois,Cook County,5238541,2540704,2697837,3538445,59426,33722,15.9,23.0,2521437,307845,71.3,8.7
Illinois,Crawford County,19214,10067,9147,15335,47468,25955,11.9,12.9,8102,951,52.8,6.2
Illinois,Cumberland County,10899,5453,5446,8386,50680,24956,14.3,19.1,5135,419,61.2,5.0
Illinois,DeKalb County,104473,51739,52734,77267,58343,26511,18.1,20.0,52511,6645,68.0,8.6
Illinois,De Witt County,16176,8085,8091,12510,55411,27866,13.3,21.3,8112,826,64.8,6.6
Illinois,Douglas County,19830,9780,10050,14422,52261,26284,12.1,18.8,9138,779,63.4,5.4
Illinois,DuPage County,931826,457327,474499,646717,84442,42050,6.8,9.0,486850,33629,75.3,5.2
Illinois,Edgar County,17603,8643,8960,13800,47873,26344,15.4,23.3,8052,1021,58.3,7.4
Illinois,Edwards County,6570,3218,3352,5022,49632,26549,11.5,18.5,3136,306,62.4,6.1
Illinois,Effingham County,34164,17021,17143,25756,54655,29300,11.3,18.0,17229,1133,66.9,4.4
Illinois,Fayette County,21980,11751,10229,17374,44541,21844,17.8,26.9,8807,1286,50.7,7.4
Illinois,Ford County,13470,6647,6823,10284,50851,26611,15.7,26.7,6177,679,60.1,6.6
Illinois,Franklin County,39302,19302,20000,30423,39454,22346,19.9,27.0,15466,2708,50.8,8.9
Illinois,Fulton County,35733,18673,17060,28106,48599,24269,15.5,19.4,15027,2164,53.5,7.7
Illinois,Gallatin County,5226,2475,2751,4100,42450,24538,16.6,27.7,2133,320,52.0,7.8
Illinois,Greene County,13311,6682,6629,10415,44502,22836,17.9,25.9,5854,698,56.2,6.7
Illinois,Grundy County,50333,25154,25179,36895,71598,31914,9.4,11.2,24608,2140,66.7,5.8
Illinois,Hamilton County,8259,4045,4214,6401,47293,25945,13.9,18.5,3751,256,58.6,4.0
Illinois,Hancock County,18264,9083,9181,14321,51460,26118,11.2,19.1,8292,945,57.9,6.6
Illinois,Hardin County,4161,2171,1990,3435,39524,20025,16.6,22.6,1303,763,37.9,22.2
Illinois,Henderson County,6927,3404,3523,5584,47428,27949,11.3,22.8,3331,335,59.7,6.0
Illinois,Henry County,49649,24610,25039,37891,55755,28443,12.5,18.1,22901,1932,60.4,5.1
Illinois,Iroquois County,28457,13878,14579,21723,48857,26480,15.5,23.0,13219,1412,60.9,6.5
Illinois,Jackson County,59115,29460,29655,46322,36008,23455,27.9,29.9,25594,3891,55.3,8.4
Illinois,Jasper County,9608,4776,4832,7271,56523,25806,12.4,14.2,4522,320,62.2,4.4
Illinois,Jefferson County,38358,19691,18667,29684,46109,24617,18.9,31.0,15916,2523,53.6,8.5
Illinois,Jersey County,22215,10855,11360,17308,56320,27528,9.4,11.4,10387,1090,60.0,6.3
Illinois,Jo Daviess County,22046,11081,10965,17502,55532,32401,7.6,9.0,10968,753,62.7,4.3
Illinois,Johnson County,12899,7342,5557,10465,45743,20726,13.9,15.8,4165,785,39.8,7.5
Illinois,Kane County,529402,263392,266010,334189,74862,33486,10.4,15.9,262971,20720,78.7,6.2
Illinois,Kankakee County,110801,54425,56376,81059,56542,26150,15.1,20.6,49811,6079,61.5,7.5
Illinois,Kendall County,122933,60801,62132,82182,89860,33369,5.6,7.4,63352,4109,77.1,5.0
Illinois,Knox County,51374,26079,25295,40401,41972,23676,18.1,27.0,21330,2545,52.8,6.3
Illinois,Lake County,704476,351847,352629,466915,82613,42388,8.5,11.5,347792,29416,74.5,6.3
Illinois,LaSalle County,111151,55819,55332,84953,54693,27959,13.6,21.7,50811,7051,59.8,8.3
Illinois,Lawrence County,16457,9034,7423,13094,44504,21072,16.4,25.8,6361,707,48.6,5.4
Illinois,Lee County,34670,18375,16295,27211,58319,28179,11.8,14.8,15386,1605,56.5,5.9
Illinois,Livingston County,36812,18890,17922,28367,54339,27318,13.3,19.4,16084,1560,56.7,5.5
Illinois,Logan County,29488,14420,15068,23661,58271,26479,9.2,13.7,12625,1325,53.4,5.6
Illinois,McDonough County,31597,15563,16034,25591,42911,22527,22.3,16.4,13837,2201,54.1,8.6
Illinois,McHenry County,308043,153503,154540,219900,82230,36208,7.3,9.9,162177,11875,73.8,5.4
Illinois,McLean County,173231,84327,88904,128081,64573,32943,14.5,12.3,91152,4995,71.2,3.9
Illinois,Macon County,107587,51439,56148,82397,49052,28280,16.6,25.8,48109,7581,58.4,9.2
Illinois,Macoupin County,45960,22691,23269,35992,53890,27255,13.3,20.9,20963,2951,58.2,8.2
Illinois,Madison County,266153,129987,136166,204598,56536,30278,13.5,18.2,125596,15140,61.4,7.4
Illinois,Marion County,38305,18781,19524,29331,44679,24112,17.8,30.5,16958,2552,57.8,8.7
Illinois,Marshall County,11925,5938,5987,9433,55173,29025,10.3,15.2,5514,585,58.5,6.2
Illinois,Mason County,13904,6948,6956,10973,44695,25952,13.9,21.4,6173,878,56.3,8.0
Illinois,Massac County,14594,7017,7577,11338,42168,23434,18.4,24.2,5563,896,49.1,7.9
Illinois,Menard County,12416,6080,6336,9611,62368,32839,11.4,22.0,6091,442,63.4,4.6
Illinois,Mercer County,15794,7830,7964,12309,55649,27844,11.4,18.0,7327,800,59.5,6.5
Illinois,Monroe County,33739,16585,17154,25840,74410,37043,5.3,5.5,17657,1137,68.3,4.4
Illinois,Montgomery County,29173,15199,13974,23245,47807,23172,15.6,23.5,10750,1348,46.2,5.8
Illinois,Morgan County,34442,17319,17123,27373,49353,26253,14.9,22.7,15777,1670,57.6,6.1
Illinois,Moultrie County,14711,7173,7538,10936,53979,26166,12.1,17.8,6993,328,63.9,3.0
Illinois,Ogle County,51619,25702,25917,38463,57655,29239,11.1,16.0,24713,2500,64.3,6.5
Illinois,Peoria County,186145,90211,95934,136050,53063,29683,15.9,22.1,84233,11292,61.9,8.3
Illinois,Perry County,21467,11832,9635,17213,45864,23929,14.7,19.5,8236,1153,47.8,6.7
Illinois,Piatt County,16433,8122,8311,12610,67360,33672,5.4,8.1,8673,567,68.8,4.5
Illinois,Pike County,15930,7907,8023,12350,41387,23218,14.9,20.1,6950,827,56.3,6.7
Illinois,Pope County,4360,2322,2038,3649,41139,22191,12.7,18.5,1330,332,36.4,9.1
Illinois,Pulaski County,5691,2760,2931,4423,34655,20195,17.1,23.1,1971,460,44.6,10.4
Illinois,Putnam County,5771,2957,2814,4532,64741,33697,8.9,20.2,2983,236,65.8,5.2
Illinois,Randolph County,32829,18235,14594,26298,49717,24716,12.3,17.8,13296,1157,50.6,4.4
Illinois,Richland County,15953,7919,8034,12282,46454,25262,15.0,20.0,7229,774,58.9,6.3
Illinois,Rock Island County,146205,72053,74152,107083,51426,27822,14.6,23.0,68461,7603,63.9,7.1
Illinois,St. Clair County,264433,127649,136784,198051,51103,28643,17.0,25.8,117401,15448,59.3,7.8
Illinois,Saline County,24430,12028,12402,18981,40722,22725,20.6,27.0,9723,2145,51.2,11.3
Illinois,Sangamon County,198134,95103,103031,150067,58687,33277,15.6,24.5,95417,10355,63.6,6.9
Illinois,Schuyler County,7181,3894,3287,5826,47321,23670,21.5,17.7,2919,402,50.1,6.9
Illinois,Scott County,5109,2503,2606,3948,48542,26918,14.9,19.3,2349,347,59.5,8.8
Illinois,Shelby County,21906,10885,11021,17142,49807,24808,12.1,14.8,10352,754,60.4,4.4
Illinois,Stark County,5551,2739,2812,4295,52284,30009,14.0,25.6,2583,206,60.1,4.8
Illinois,Stephenson County,45839,22183,23656,35464,46427,25792,16.1,23.2,21253,2837,59.9,8.0
Illinois,Tazewell County,134695,66456,68239,102624,60874,32082,8.0,9.9,63912,5234,62.3,5.1
Illinois,Union County,17267,8712,8555,13300,46716,24646,16.8,19.7,7245,705,54.5,5.3
Illinois,Vermilion County,79207,39325,39882,59217,44930,23416,19.8,30.7,31973,4915,54.0,8.3
Illinois,Wabash County,11568,5684,5884,8845,49716,25105,13.1,14.8,5291,672,59.8,7.6
Illinois,Warren County,17429,8439,8990,12860,47278,24840,13.8,19.3,8248,849,64.1,6.6
Illinois,Washington County,14260,7182,7078,11132,54520,29687,9.7,13.3,7153,490,64.3,4.4
Illinois,Wayne County,16569,8209,8360,12757,46405,25046,15.8,25.9,7347,612,57.6,4.8
Illinois,White County,14186,6957,7229,10948,46279,26522,13.9,19.2,6006,898,54.9,8.2
Illinois,Whiteside County,56823,27990,28833,43198,51969,28188,11.1,15.4,26553,2592,61.5,6.0
Illinois,Will County,687727,341719,346008,472786,80782,33731,7.4,10.6,342710,28367,72.5,6.0
Illinois,Williamson County,67477,33646,33831,52191,48600,26023,15.2,21.9,28720,3601,55.0,6.9
Illinois,Winnebago County,287512,140454,147058,208295,51110,27297,15.3,23.4,132190,20830,63.5,10.0
Illinois,Woodford County,38942,19374,19568,29137,69507,34198,7.4,11.8,18685,1369,64.1,4.7
Indiana,Adams County,35018,17361,17657,23929,48290,21534,18.9,29.8,14954,1244,62.5,5.2
Indiana,Allen County,367747,179414,188333,260663,51091,26932,14.7,22.0,176365,16422,67.7,6.3
Indiana,Bartholomew County,81024,40688,40336,55538,57331,29955,12.4,18.2,39722,2777,71.5,5.0
Indiana,Benton County,8685,4349,4336,6417,49183,23652,14.9,21.7,4126,270,64.3,4.2
Indiana,Blackford County,12214,6047,6167,9477,40622,22328,12.8,17.1,5251,644,55.4,6.8
Indiana,Boone County,63013,31211,31802,44927,75591,42844,6.1,7.9,32690,1483,72.8,3.3
Indiana,Brown County,15007,7439,7568,12173,59292,31365,10.6,10.1,6754,718,55.5,5.9
Indiana,Carroll County,19994,9980,10014,15134,56188,26589,10.2,12.4,9492,787,62.7,5.2
Indiana,Cass County,38248,19091,19157,26823,45558,23592,13.9,20.6,17137,1717,63.9,6.4
Indiana,Clark County,114893,55952,58941,86607,52834,26875,9.7,14.0,56087,4937,64.8,5.7
Indiana,Clay County,26375,12903,13472,20216,50924,24339,13.9,18.9,12252,991,60.6,4.9
Indiana,Clinton County,32455,16044,16411,22209,51659,23722,13.3,20.7,15228,1155,68.6,5.2
Indiana,Crawford County,10598,5355,5243,8247,40067,19424,17.8,19.7,4241,355,51.4,4.3
Indiana,Daviess County,32777,16600,16177,22578,48355,21794,13.0,14.7,14200,1219,62.9,5.4
Indiana,Dearborn County,49564,24774,24790,37838,62905,30228,10.1,14.7,24597,2195,65.0,5.8
Indiana,Decatur County,26480,13112,13368,19799,52270,25548,11.4,15.6,12996,950,65.6,4.8
Indiana,DeKalb County,42524,21161,21363,31716,51374,26057,12.5,20.7,21054,1459,66.4,4.6
Indiana,Delaware County,115938,55903,60035,92417,41208,23271,21.2,25.2,53152,7301,57.5,7.9
Indiana,Dubois County,42379,21223,21156,31012,57307,28302,10.0,11.8,21928,899,70.7,2.9
Indiana,Elkhart County,202924,100359,102565,135371,52449,23817,13.8,19.3,94516,7581,69.8,5.6
Indiana,Fayette County,23426,11562,11864,18189,41476,22428,18.2,24.1,9696,1364,53.3,7.5
Indiana,Floyd County,76481,37092,39389,58027,59451,30663,10.8,14.9,38137,2959,65.7,5.1
Indiana,Fountain County,16620,8272,8348,12781,46669,25383,12.6,13.1,7335,805,57.4,6.3
Indiana,Franklin County,22835,11415,11420,17231,55588,26267,9.9,10.6,11012,913,63.9,5.3
Indiana,Fulton County,20296,9992,10304,15098,47108,23557,13.3,16.2,9575,574,63.4,3.8
Indiana,Gibson County,33596,16841,16755,25458,51149,27342,10.7,13.9,16210,891,63.7,3.5
Indiana,Grant County,67615,32360,35255,53207,42046,21024,19.1,31.3,29436,4044,55.3,7.6
Indiana,Greene County,32431,16040,16391,25096,49648,24744,12.9,15.9,14248,1556,56.8,6.2
Indiana,Hamilton County,309687,151395,158292,212065,90582,44443,5.0,5.8,163999,6998,77.3,3.3
Indiana,Hancock County,72776,35716,37060,54544,70973,31428,7.0,9.8,37374,2182,68.5,4.0
Indiana,Harrison County,39450,19790,19660,30330,53897,25993,12.9,14.2,17769,2002,58.6,6.6
Indiana,Hendricks County,158170,78924,79246,114294,74245,33031,5.1,5.9,81408,5143,71.2,4.5
Indiana,Henry County,48649,25252,23397,38363,46131,23293,16.1,25.0,20044,2685,52.2,7.0
Indiana,Howard County,82457,39889,42568,62811,47958,26294,16.5,23.8,36774,4083,58.5,6.5
Indiana,Huntington County,36520,17917,18603,28186,50063,24222,11.6,16.6,18256,1099,64.8,3.9
Indiana,Jackson County,43779,21861,21918,31621,49080,23260,15.6,19.4,20125,1961,63.6,6.2
Indiana,Jasper County,33448,16568,16880,24860,56574,24953,9.0,11.5,15315,1293,61.6,5.2
Indiana,Jay County,21107,10360,10747,15490,42878,20193,17.9,24.8,9315,945,60.1,6.1
Indiana,Jefferson County,32293,15417,16876,25427,50722,25429,13.7,19.6,14465,1754,56.9,6.9
Indiana,Jennings County,27840,13983,13857,21010,48362,22901,13.9,19.2,13028,1261,62.0,6.0
Indiana,Johnson County,149359,73340,76019,108188,65272,31101,9.4,13.2,74247,4977,68.6,4.6
Indiana,Knox County,37763,19265,18498,29524,44837,23441,15.6,22.0,18338,1594,62.1,5.4
Indiana,Kosciusko County,78720,39206,39514,57371,57190,27884,11.2,16.1,38265,2639,66.7,4.6
Indiana,LaGrange County,38720,19659,19061,25367,58336,22780,9.1,11.6,16479,736,65.0,2.9
Indiana,Lake County,488694,236337,252357,357080,52559,26590,16.8,27.1,216337,30352,60.6,8.5
Indiana,LaPorte County,110839,57212,53627,85044,49921,25004,16.6,28.7,47222,6804,55.5,8.0
Indiana,Lawrence County,45669,22621,23048,35199,49985,25036,11.5,16.9,20577,1830,58.5,5.2
Indiana,Madison County,129641,64805,64836,99639,45432,23680,17.4,25.4,55819,6775,56.0,6.8
Indiana,Marion County,939964,452538,487426,653701,44869,26284,19.8,29.6,450798,52296,69.0,8.0
Indiana,Marshall County,46752,23252,23500,33572,51869,24289,11.5,14.4,21353,2283,63.6,6.8
Indiana,Martin County,10219,5146,5073,7873,49372,25138,13.3,20.4,4804,331,61.0,4.2
Indiana,Miami County,36035,19016,17019,27982,46666,22890,16.0,24.9,15337,2183,54.8,7.8
Indiana,Monroe County,144436,72005,72431,113388,45689,26738,24.7,20.2,71839,7143,63.4,6.3
Indiana,Montgomery County,38288,19432,18856,28672,53075,25519,10.2,14.9,18802,1262,65.6,4.4
Indiana,Morgan County,69533,34307,35226,52941,60317,27402,11.8,18.5,33330,3018,63.0,5.7
Indiana,Newton County,14056,7041,7015,10553,52193,24315,14.0,23.1,6311,749,59.8,7.1
Indiana,Noble County,47421,23797,23624,33993,52393,25260,9.3,12.0,22593,1938,66.5,5.7
Indiana,Ohio County,5911,2967,2944,4744,58359,27715,5.0,2.9,3041,157,64.1,3.3
Indiana,Orange County,19623,9687,9936,14873,42803,22715,15.0,23.5,8438,684,56.7,4.6
Indiana,Owen County,20957,10629,10328,16349,48315,24220,15.6,26.4,9455,1030,57.8,6.3
Indiana,Parke County,17062,8178,8884,13298,44643,21636,13.9,16.6,6734,838,50.6,6.3
Indiana,Perry County,19229,10336,8893,15055,49689,23003,14.5,22.1,8199,587,54.5,3.9
Indiana,Pike County,12471,6256,6215,9635,50196,25648,10.6,18.9,5922,366,61.5,3.8
Indiana,Porter County,167391,82696,84695,126844,65979,31879,11.0,15.5,79536,7230,62.7,5.7
Indiana,Posey County,25599,12776,12823,19803,60992,30763,9.5,10.5,12454,673,62.9,3.4
Indiana,Pulaski County,12761,6458,6303,9794,47633,24445,13.2,17.7,5654,676,57.7,6.9
Indiana,Putnam County,37543,19747,17796,29794,55295,23842,11.6,19.4,16283,1519,54.7,5.1
Indiana,Randolph County,25203,12278,12925,18970,44985,23427,17.0,24.9,11436,1062,60.3,5.6
Indiana,Ripley County,28372,14065,14307,21341,53698,25385,10.5,15.7,13646,1216,63.9,5.7
Indiana,Rush County,16765,8223,8542,12873,47955,23749,18.3,25.0,7403,605,57.5,4.7
Indiana,St. Joseph County,268613,130472,138141,195212,48121,25893,17.1,25.6,125645,12494,64.4,6.4
Indiana,Scott County,23722,11628,12094,18050,49243,24186,13.7,20.7,10269,1011,56.9,5.6
Indiana,Shelby County,44339,21933,22406,33376,57216,27317,10.6,14.3,22045,1635,66.1,4.9
Indiana,Spencer County,20610,10431,10179,15846,55280,29114,9.7,14.1,9859,903,62.2,5.7
Indiana,Starke County,22966,11295,11671,17420,45526,22153,16.7,23.1,9729,1324,55.8,7.6
Indiana,Steuben County,34459,17441,17018,26700,52749,26902,10.1,15.6,17154,1308,64.2,4.9
Indiana,Sullivan County,20900,11235,9665,16648,45031,22239,15.6,19.9,8087,982,48.6,5.9
Indiana,Switzerland County,10617,5497,5120,7897,43468,21511,19.7,26.9,4378,521,55.4,6.6
Indiana,Tippecanoe County,186081,94992,91089,131956,50486,25481,20.9,19.1,91869,6862,69.6,5.2
Indiana,Tipton County,15290,7632,7658,11962,53931,28507,9.4,18.8,7430,455,62.1,3.8
Indiana,Union County,7225,3658,3567,5542,45531,22527,8.2,7.4,3429,216,61.9,3.9
Indiana,Vanderburgh County,181831,87869,93962,139528,44815,26917,18.0,27.2,86719,7255,62.2,5.2
Indiana,Vermillion County,15644,7716,7928,12079,45440,23891,13.4,16.7,6440,616,53.3,5.1
Indiana,Vigo County,107723,54651,53072,83521,42030,22932,19.9,25.0,47559,6598,56.9,7.9
Indiana,Wabash County,31848,15568,16280,24832,49052,24700,13.3,22.7,15079,1366,60.7,5.5
Indiana,Warren County,8269,4124,4145,6418,58950,29312,9.5,15.4,4012,302,62.5,4.7
Indiana,Warrick County,61581,30490,31091,45709,66080,33528,7.7,10.1,31003,1554,67.8,3.4
Indiana,Washington County,27807,13783,14024,21238,46861,23223,13.3,17.7,11952,1487,56.3,7.0
Indiana,Wayne County,66972,32387,34585,51530,41813,23895,18.2,26.3,29078,3349,56.4,6.5
Indiana,Wells County,27832,13689,14143,20806,53038,25850,11.0,15.5,13703,624,65.9,3.0
Indiana,White County,24279,12185,12094,17856,51404,26275,9.8,13.5,11428,786,64.0,4.4
Indiana,Whitley County,33481,16716,16765,25562,57041,28073,9.5,15.0,16513,920,64.6,3.6
Iowa,Adair County,7192,3552,3640,5572,49477,28861,9.5,12.1,3680,167,66.0,3.0
Iowa,Adams County,3785,1870,1915,2992,49745,27022,11.2,8.6,1796,126,60.0,4.2
Iowa,Allamakee County,13940,7098,6842,10379,47895,27377,11.4,15.3,6881,343,66.3,3.3
Iowa,Appanoose County,12547,6206,6341,9739,40377,25543,17.1,26.3,5502,614,56.5,6.3
Iowa,Audubon County,5711,2814,2897,4540,48750,31523,11.1,15.3,2882,123,63.5,2.7
Iowa,Benton County,25646,12786,12860,19383,64061,32356,8.7,10.8,13230,698,68.3,3.6
Iowa,Black Hawk County,132960,65251,67709,100773,50916,27669,15.9,18.2,68771,5341,68.2,5.3
Iowa,Boone County,26381,13280,13101,20197,57906,30190,9.4,11.5,13803,889,68.3,4.4
Iowa,Bremer County,24741,12195,12546,19032,65440,32105,7.7,7.7,12931,685,67.9,3.6
Iowa,Buchanan County,21101,10497,10604,15351,59348,30974,7.8,9.1,10412,491,67.8,3.2
Iowa,Buena Vista County,20369,10254,10115,12715,52784,26345,13.7,21.5,10658,623,83.8,4.9
Iowa,Butler County,14822,7402,7420,11356,53937,28584,9.4,14.1,7431,363,65.4,3.2
Iowa,Calhoun County,9814,5080,4734,7731,46302,27370,15.3,21.3,4370,178,56.5,2.3
Iowa,Carroll County,20428,10052,10376,15339,54563,29191,10.3,12.8,10592,383,69.1,2.5
Iowa,Cass County,13327,6586,6741,10284,45637,26427,15.1,25.1,6544,257,63.6,2.5
Iowa,Cedar County,18368,9148,9220,14182,62555,30362,5.4,2.6,9872,425,69.6,3.0
Iowa,Cerro Gordo County,43134,21011,22123,33798,50569,31292,11.3,13.4,22051,1386,65.2,4.1
Iowa,Cherokee County,11577,5804,5773,9046,53998,30973,11.9,18.4,5990,299,66.2,3.3
Iowa,Chickasaw County,12140,6053,6087,9149,50688,27973,8.9,11.3,6269,229,68.5,2.5
Iowa,Clarke County,9267,4600,4667,6627,49718,25879,15.4,24.0,4610,292,69.6,4.4
Iowa,Clay County,16387,8091,8296,12485,48978,28514,11.8,18.1,8247,424,66.1,3.4
Iowa,Clayton County,17711,8916,8795,13695,51114,27719,10.4,14.3,9050,411,66.1,3.0
Iowa,Clinton County,47587,23289,24298,36207,50295,28091,13.1,17.2,22825,1521,63.0,4.2
Iowa,Crawford County,17131,8878,8253,10873,51091,27270,18.5,24.1,8112,674,74.6,6.2
Iowa,Dallas County,80864,39934,40930,54705,82719,42417,5.4,5.2,44329,1313,81.0,2.4
Iowa,Davis County,8834,4360,4474,6238,52390,25747,13.7,18.1,3949,218,63.3,3.5
Iowa,Decatur County,8105,4074,4031,6251,41042,21110,19.1,23.9,3780,313,60.5,5.0
Iowa,Delaware County,17326,8659,8667,13057,60534,30768,9.2,14.2,9345,326,71.6,2.5
Iowa,Des Moines County,39876,19534,20342,30397,47524,27168,15.3,23.8,19302,1702,63.5,5.6
Iowa,Dickinson County,17000,8547,8453,13650,59889,36588,8.1,9.2,9177,410,67.2,3.0
Iowa,Dubuque County,96571,47757,48814,73022,59150,30117,11.9,15.8,50779,2848,69.5,3.9
Iowa,Emmet County,9661,4792,4869,7264,47419,29396,13.8,18.5,4894,283,67.4,3.9
Iowa,Fayette County,20139,10162,9977,15691,48412,27020,12.8,17.2,10036,549,64.0,3.5
Iowa,Floyd County,15904,7830,8074,12115,48607,28323,15.6,27.0,8223,327,67.9,2.7
Iowa,Franklin County,10326,5235,5091,7689,48172,25248,15.6,26.1,4801,354,62.4,4.6
Iowa,Fremont County,6985,3453,3532,5378,54430,29813,11.0,16.2,3363,167,62.5,3.1
Iowa,Greene County,9046,4409,4637,6891,52529,27968,10.0,11.7,4506,427,65.4,6.2
Iowa,Grundy County,12354,6117,6237,9420,65170,35662,5.8,4.4,6295,273,66.8,2.9
Iowa,Guthrie County,10664,5321,5343,8184,56306,30646,10.1,11.4,5350,286,65.4,3.5
Iowa,Hamilton County,15201,7433,7768,11467,55836,27963,9.4,11.7,7735,264,67.5,2.3
Iowa,Hancock County,10971,5519,5452,8396,57840,29147,9.1,12.0,5653,143,67.3,1.7
Iowa,Hardin County,17239,8634,8605,13212,52207,28445,8.0,9.9,8542,330,64.7,2.5
Iowa,Harrison County,14196,7016,7180,10917,57558,29332,10.4,13.1,7308,186,66.9,1.7
Iowa,Henry County,19865,10099,9766,15193,52275,26340,12.2,19.5,9304,836,61.2,5.5
Iowa,Howard County,9321,4677,4644,6996,51422,27906,11.6,14.2,4695,203,67.1,2.9
Iowa,Humboldt County,9586,4665,4921,7148,48847,29587,13.0,20.6,4698,236,65.7,3.3
Iowa,Ida County,6965,3478,3487,5288,51978,30192,10.3,10.3,3533,169,66.8,3.2
Iowa,Iowa County,16231,8009,8222,12322,58077,29881,9.8,14.7,8623,259,70.0,2.1
Iowa,Jackson County,19409,9639,9770,15030,51806,27672,12.0,15.3,9708,706,64.6,4.7
Iowa,Jasper County,36789,18797,17992,28400,56363,27214,9.1,9.7,17428,1306,61.4,4.6
Iowa,Jefferson County,17945,9511,8434,12816,44516,26630,15.2,24.8,8372,859,65.3,6.7
Iowa,Johnson County,144425,71463,72962,105890,59965,33039,17.7,11.1,81701,3494,77.2,3.3
Iowa,Jones County,20468,10528,9940,15880,58391,29653,9.1,10.5,9671,667,60.9,4.2
Iowa,Keokuk County,10223,5196,5027,7872,48399,26638,11.2,13.2,4922,417,62.5,5.3
Iowa,Kossuth County,15166,7598,7568,11763,54868,29949,10.0,14.1,7646,247,65.0,2.1
Iowa,Lee County,34785,17553,17232,27128,48266,24408,16.3,24.5,16022,2062,59.1,7.6
Iowa,Linn County,220008,108534,111474,163168,62702,32786,9.5,11.4,117384,6200,71.9,3.8
Iowa,Louisa County,11238,5743,5495,7884,54393,27234,11.0,13.8,5561,323,70.5,4.1
Iowa,Lucas County,8600,4343,4257,6479,47325,27234,9.9,10.3,4076,272,62.9,4.2
Iowa,Lyon County,11745,6011,5734,8322,62012,28356,4.9,5.6,6004,200,72.1,2.4
Iowa,Madison County,15720,7870,7850,11541,60077,31449,7.3,4.6,7971,600,69.1,5.2
Iowa,Mahaska County,22301,11293,11008,16737,50568,26575,14.4,16.7,10897,937,65.1,5.6
Iowa,Marion County,33127,16341,16786,24991,57917,27815,9.3,10.0,17090,900,68.4,3.6
Iowa,Marshall County,40476,20400,20076,26881,52752,25693,11.2,16.5,19195,1425,71.4,5.3
Iowa,Mills County,14933,7487,7446,11311,67949,31309,9.1,8.4,7416,362,65.6,3.2
Iowa,Mitchell County,10663,5288,5375,8057,53675,27407,8.3,10.5,5180,290,64.3,3.6
Iowa,Monona County,8865,4388,4477,7062,41598,26829,14.9,23.5,4307,226,61.0,3.2
Iowa,Monroe County,7912,4029,3883,5883,50179,25929,10.9,12.3,3780,329,64.3,5.6
Iowa,Montgomery County,10239,4931,5308,7772,43674,25005,16.5,27.0,4838,521,62.2,6.7
Iowa,Muscatine County,42923,21256,21667,30666,56398,28028,10.5,15.4,21645,1073,70.6,3.5
Iowa,O'Brien County,13944,6979,6965,10444,56314,32051,9.7,13.3,7418,240,71.0,2.3
Iowa,Osceola County,6149,3099,3050,4509,53604,26776,11.4,18.6,3197,77,70.9,1.7
Iowa,Page County,15393,7996,7397,12120,46708,25739,13.6,18.5,7220,473,59.6,3.9
Iowa,Palo Alto County,9110,4540,4570,6843,50470,27902,7.1,10.6,4819,89,70.4,1.3
Iowa,Plymouth County,25027,12259,12768,18445,61316,30686,9.1,14.9,13100,535,71.0,2.9
Iowa,Pocahontas County,6972,3440,3532,5331,45969,27553,13.2,14.1,3358,187,63.0,3.5
Iowa,Polk County,467235,229864,237371,328736,63530,33524,11.7,16.3,250105,15451,76.1,4.7
Iowa,Pottawattamie County,93287,45896,47391,69140,56291,29085,11.2,15.4,46780,3250,67.7,4.7
Iowa,Poweshiek County,18428,8821,9607,14384,51456,27679,10.7,11.7,9622,662,66.9,4.6
Iowa,Ringgold County,4986,2421,2565,3788,50642,27621,10.9,8.6,2134,189,56.3,5.0
Iowa,Sac County,9936,4848,5088,7644,53254,29502,9.4,9.8,5011,306,65.6,4.0
Iowa,Scott County,171493,84184,87309,127246,57681,30798,12.3,16.7,83710,5344,65.8,4.2
Iowa,Shelby County,11772,5784,5988,8954,55638,30799,8.7,11.0,6043,331,67.5,3.7
Iowa,Sioux County,34692,17407,17285,23757,66022,27339,7.9,9.8,18678,523,78.6,2.2
Iowa,Story County,95888,49985,45903,72972,52671,27392,22.0,9.0,51305,3211,70.3,4.4
Iowa,Tama County,17236,8530,8706,12694,56110,27074,11.8,19.9,8479,482,66.8,3.8
Iowa,Taylor County,6214,3152,3062,4688,46825,27344,11.0,10.9,3004,131,64.1,2.8
Iowa,Union County,12497,6061,6436,9500,47597,25098,13.8,16.0,6205,408,65.3,4.3
Iowa,Van Buren County,7308,3728,3580,5548,47197,24952,14.0,27.2,3240,266,58.4,4.8
Iowa,Wapello County,35321,17441,17880,25734,43329,23413,17.0,21.9,16269,1621,63.2,6.3
Iowa,Warren County,48630,23679,24951,36210,71514,33013,6.2,7.2,25633,1376,70.8,3.8
Iowa,Washington County,22095,11066,11029,16291,59157,28397,9.1,12.8,11244,586,69.0,3.6
Iowa,Wayne County,6405,3136,3269,4818,42434,23367,15.9,25.6,2796,125,58.0,2.6
Iowa,Webster County,36945,18984,17961,28358,42148,24629,16.2,21.8,16583,1616,58.5,5.7
Iowa,Winnebago County,10545,5142,5403,8137,50072,26558,10.1,12.8,5119,570,62.9,7.0
Iowa,Winneshiek County,20575,10306,10269,16402,60788,29052,8.0,7.9,11957,328,72.9,2.0
